system,number_density,atom_types,unitcell_alpha,unitcell_beta,unitcell_gamma,unitcell_a,unitcell_b,unitcell_c,density,mean_coordination,packing_fraction,reduced_mass,average_mass,largest_pore_radius,bond_types,mean_bond_length,bond_variance,bond_std,bond_strain,electronegativity,effective_electronegativity,types_of_bond_angle,symmetry_number,pointgroup,mean_bond_angle,angle_variance,std_angle,types_puckering,max_puckering,mean_puckering,bond_density,energy,num_layers,layer_width,z_variance,spin_orbit_coupling,oxidation,entropy,linear_centre_fraction,alpha_max,alpha_max_temperature,alpha_300,saruration
6,0.0342,1,90,90,120,11.036,11.0361,10,0.411,2.53521126760563,0.063,12,12,5.4721,3,1.4173,0.0019,0.0439,-0.0675,0,3.15,4,4,mm2,123,85.2914,9.2353,1,0.0032,0.0016,0.0428112541632117,-314.27201786,3,0,0,1296,0,0,0,-2.890683404,80,1.730455485,240
InSb,0.0102,2,90,90,60,4.7507,4.7507,10,1.2126,2.71428571428571,0.1189,118.3966,118.5,2.7041,1,2.7428,0,0,-0.0239,0.76,2.67,1,12,-6m2,120,0,0,1,0.0032,0.0016,0.0136435403220548,-6.23692777,1,0,0,6765201,3,5.76282565917539,0,0,0,92.708699782,10
As2Se3,0.0186,2,90,90,90,12.0903,10,4.438,1.4425,2.28888888888889,0.1336,77.3499,77.4,1.914,2,2.4447,0.0005,0.0213,0.0229,0.22,3.282,4,4,mm2,98,32.0533,5.6616,4,0.9699,0.6532,0.0205007013031323,-42.1909554,1,2.90511998,1.0561,1336336,3,5.59541899951496,0,-7.007549,20,17.973723832,70
C8N2,0.0377,2,90,90,114,5.9388,4.8763,10,0.4675,2.77011494252874,0.0668,12.3529,12.4,1.6288,1,1.4066,0.0002,0.0143,-0.0624,0.16,3.232,6,2,m,115,78.3063,8.8491,1,0.0032,0.0016,0.0515268720774088,-89.01405747,1,0,0,2401,2,4.16034574929649,0,-6.208594038,180,-5.102112541,640
GaGY-HEX,0.012,2,90,90,60,8.7892,8.7892,10,0.3169,2.08333333333333,0.0392,15.1351,26.5,4.3676,2,1.7284,0.0968,0.3111,-0.0744,0.5184,2.97,2,4,mm2,152,894.6746,29.9111,0,0,0,0.0124564458246787,-52.49833545,1,0,0,923521,3,4.67525439236077,0,-3.511244589,10,14.794753903,30
beta-β-Si2As2,0.0341,2,90,90,60,3.6811,3.6811,10,1.7554,2.86885245901639,0.2179,40.7767,51.5,1.1243,2,2.3745,0.0009,0.0297,0.0389,0.2707,2.985,2,12,-3m,105,52.5918,7.252,2,0.973,0.6082,0.0474010215159431,-21.30171264,2,2.24546486,3.1887,1185921,3,5.76282565917539,0,-2.666285783,60,9.424243844,120
c18n8,0.0323,2,90,90,60,9.6344,9.6344,10,0.408,2.61538461538462,0.0561,12.5517,12.6154,2.6687,4,1.3917,0.0018,0.0427,-0.0683,0.2171,3.2762,1,12,-6m2,120,6.882,2.6233,1,0.0032,0.0015,0.0422964228209118,-227.72223794,1,0,0,2401,1,5.13174807353806,0,-8.453418712,190,-7.261874747,790
Pb2Sb2,0.0122,2,90,90,60,4.3459,4.3459,10,2.0113,2.71428571428571,0.1485,153.5198,164.5,2.4756,1,2.9361,0,0,0.0302,0.43,2.835,1,2,m,95,0,0,2,0.9944,0.5021,0.0163024729310709,-7.31713248,1,1.52463207,0.5811,45212176,3,5.76282565917539,0,0,0,109.896091777,10
TPHHO-graphene,0.0358,1,90,90,90,3.9502,7.0634,10,0.4301,2.8169014084507,0.0659,12,12,1.6505,4,1.4377,0.0026,0.0505,-0.0541,0,3.15,7,2,m,121,301.0244,17.3501,1,0.0032,0.0015,0.0477871427654696,-87.36237824,1,0,0,1296,0,0,0,-0.223129699,10,16.442019294,20
Pha,0.0372,1,90,90,90,8.0997,6.64,10,0.4462,2.62025316455696,0.0684,12,12,1.48,3,1.4256,0.0016,0.0401,-0.0621,0,3.15,4,8,mmm,122,55.5499,7.4532,1,0.0032,0.0016,0.048343465012384,-181.6528354,1,0,0,1296,0,0,0,-7.994465397,80,-3.829223007,490
lambda-GY,0.0277,1,90,90,90,6.8978,9.4271,10,0.3322,2.22222222222222,0.0509,12,12,2.1955,2,1.3645,0.0066,0.0813,-0.1023,0,3.15,2,8,mmm,145,871.4406,29.5202,1,0.0032,0.0016,0.0307569909249361,-154.00800931,1,0,0,1296,0,0,0.0138888888888889,-16.018635935,230,-15.395569547,1000
beta-GY,0.0232,1,90,90,60,9.4722,9.4722,10,0.278,2,0.0426,12,12,7.344,3,1.3435,0.0067,0.0821,-0.1161,0,3.15,2,24,6/mmm,153,891.7075,29.8615,1,0.0032,0.0016,0.0231662792066263,-151.4806782,3,0,0,1296,0,0,0,-7.984654554,260,-7.84637486,930
CaP3,0.0251,2,88,94,78,5.7214,5.7214,10,0.8341,4.61111111111111,0.2398,32.8477,33.25,1.5642,8,2.7659,0.1768,0.4205,0.0563,0.5957,2.92,14,1,1,100,1524.3339,39.0427,1,0.9999,0.5406,0.0578381546728029,-40.68327186,1,2.92780239,1.2917,160000,7,4.67525439236077,0,-1.252101132,10,36.256400019,30
beta-β-C2P2,0.0552,2,90,90,60,2.8936,2.8936,10,1.186,2.86885245901639,0.1922,17.3023,21.5,0.7745,2,1.8177,0.0186,0.1364,0.0239,0.0082,3.155,2,12,-3m,105,55.5874,7.4557,2,0.9747,0.6079,0.0767107299417011,-28.31229779,2,1.62884175,1.6178,50625,3,5.76282565917539,0,-2.09690615,30,12.422393435,90
alpha-α-Sn2P2,0.0306,2,90,90,60,3.8864,3.8864,10,2.2935,3,0.2505,49.1867,75,2.1455,2,2.5894,0.0131,0.1146,0.0304,0.4,2.92,2,12,-6m2,104,60.6745,7.7894,2,0.9781,0.5905,0.0458703554727925,-19.31653887,1,5.21831288,4.4161,6250000,3,5.76282565917539,0,-8.301508078,60,5.999097273,160
alpha-α-Pb2P2,0.028,2,90,90,60,4.0584,4.0584,10,3.3371,3,0.2547,53.9244,119,2.2336,2,2.706,0.0165,0.1285,0.0432,0.45,2.89,2,12,-6m2,104,59.3412,7.7033,2,0.9776,0.5906,0.042064241302239,-17.54534866,1,5.46296382,4.8505,45212176,3,5.76282565917539,0,-9.767919524,40,9.069175397,130
